name,latitude,longitude,num_reviews
Old Taverna Kritikou,37.973587,23.727905,64.0
The Big Bad Wolf Souvlaki & Burger Bar - Ampelokipoi,37.9918,23.731617,85.0
BoBo Wine Bar,37.963215,23.724077,113.0
Everest,37.93943,23.74016,147.0
Little Tree Books & Coffee,37.96817,23.727135,345.0
Beer Garden Ritterburg,37.96653,23.770103,87.0
Heteroclito Wine Bar,37.97559,23.730556,234.0
Raeti,37.98784,23.759888,45.0
Konstandinidis,37.96312,23.724771,54.0
Mani Mani,37.966698,23.728361,2457.0
Safe House Cafe,38.101192,23.8844,54.0
Oikonomou,37.96974,23.713121,60.0
Kafeneio Oraia Ellas,37.975872,23.727114,333.0
To Paradosiako,37.97774,23.728727,445.0
Τaverna Spyros - Antonis,38.01861,23.738329,62.0
Mouries,37.965885,23.743717,66.0
Stani,37.985462,23.727985,415.0
Vespa Rossa Osteria,37.97401,23.74718,74.0
Yiaourtaki,37.976757,23.725754,54.0
Restaurant Polis Grand Hotel,37.985542,23.729761,85.0
Pink Flamingo Dim Sum,37.97464,23.732529,187.0
Gevomai Kai Magevomai,37.974907,23.718332,168.0
Klepsidra Cafe,37.97352,23.726667,546.0
La Suite Lounge,37.97914,23.742214,120.0
Kalamaki Kolonaki,37.97838,23.744913,299.0
Lulu's Bakery and Deli,37.971626,23.730103,306.0
Juan Rodriguez Bar - Compania de Bebida,37.978916,23.72635,131.0
Balkan Restaurant,37.98518,23.722921,91.0
Kayak,37.97095,23.730017,45.0
Stou Korre,37.97921,23.72328,44.0
Metropol Cafe,37.975285,23.729412,134.0
Trattoria Plaka,37.971752,23.731035,477.0
Taverna Aris,37.980927,23.7278,389.0
The Old Tavern of Psarras,37.973133,23.728636,1685.0
Indian Masala,37.977222,23.721905,437.0
Zaf,37.976982,23.728243,61.0
Kekkos Traditional Cafe and Pastry,37.970325,23.741976,88.0
McDonald's Constitution,37.975773,23.73374,182.0
Seychelles,37.982254,23.720274,741.0
Krinos,37.980404,23.728565,161.0
Mis Elen,37.99653,23.742353,49.0
Palia Taverna tou Psara,37.973133,23.728647,84.0
Matonella,37.976494,23.725016,143.0
Meta's Restaurant,37.967514,23.747385,51.0
Brokies Allday Moodbar,37.991158,23.849665,56.0
Peri Kafe,37.97501,23.733793,58.0
Mokka,37.98083,23.727222,109.0
Oinomageireio Epirus,37.98,23.728233,829.0
Deliolanis,37.963123,23.7249,79.0
City Bistro,37.977318,23.734444,163.0
Upper House,37.976936,23.734997,50.0
To Faliraki,37.96615,23.72791,56.0
To Steki Tou Ilia,37.9771,23.716043,84.0
Colibri,37.966335,23.742664,330.0
