name,latitude,longitude,rating,num_reviews,rooms,total_grade
Evita Asty Hotel,37.98636,23.727814,4.0,15.0,96.0,100.0
Hypnos Inn Athens,37.98868,23.746851,5.0,3.0,24.0,76.0
Delphi Art Hotel,37.984505,23.724766,3.5,424.0,40.0,100.0
Hotel Minoa,37.98579,23.723011,3.5,317.0,42.0,100.0
Athens Warehouse Boutique Hotel & Suites,37.98665,23.72685,4.0,2.0,0.0,100.0
Blend Hotel,37.97882,23.72801,4.5,50.0,24.0,100.0
Hotel Athinaikon,37.980003,23.726421,3.5,301.0,25.0,100.0
Athens Lights Hotel,37.98523,23.7321,3.5,22.0,13.0,100.0
Achilleas Hotel,37.97704,23.731688,4.5,65.0,35.0,100.0
AthensWas Design Hotel,37.96961,23.730776,4.5,510.0,21.0,100.0
Classical Fashion House Hotel,37.98314,23.71623,3.0,39.0,115.0,100.0
Acropolis Select Hotel,37.965847,23.72732,4.0,1016.0,72.0,100.0
Athens Tiare Hotel,37.983864,23.727371,4.5,585.0,111.0,100.0
​St. George Lycabettus Lifestyle Hotel,37.979115,23.742376,4.0,3256.0,154.0,100.0
Economy Hotel,37.98146,23.726732,4.0,702.0,56.0,100.0
Claridge Hotel,37.984573,23.728819,2.0,111.0,53.0,100.0
Zappion Hotel,37.970676,23.742977,4.0,121.0,16.0,100.0
O&B Athens Boutique Hotel,37.97752,23.722004,4.5,2353.0,22.0,100.0
Holiday Suites,37.977654,23.754202,4.5,224.0,34.0,100.0
Acropolis View Hotel,37.96888,23.72391,4.0,864.0,32.0,100.0
Hellenic Vibes Smart Hotel,37.976967,23.727245,4.5,22.0,35.0,100.0
Athens Panorama Project,37.996277,23.742012,4.0,30.0,54.0,76.0
Classic Hotel by Athens Prime Hotels,37.97802,23.730536,5.0,17.0,25.0,100.0
Hotel Ariston,37.990913,23.720654,4.0,344.0,35.0,87.0
Athens21,37.977737,23.726606,4.5,38.0,19.0,100.0
Lacoba Hotel,37.94369,23.69689,2.5,25.0,84.0,72.0
Enattica Suites,37.97734,23.729769,4.0,27.0,22.0,100.0
Hotel Moka,37.98805,23.72837,4.0,185.0,18.0,100.0
Athens Ikon,37.975266,23.731688,5.0,33.0,6.0,100.0
Acropolis Ami Boutique Hotel,37.96449,23.730478,4.0,496.0,18.0,100.0
Art Suites Korai,37.987453,23.727861,1.0,2.0,0.0,100.0
Athens Habitat,38.03368,23.799126,4.5,206.0,13.0,62.0
Hapimag Resort Athene,37.972164,23.73243,4.5,94.0,16.0,100.0
Athens City Hotel,38.007744,23.73511,3.5,149.0,40.0,72.0
Titania Hotel,37.98296,23.730904,3.5,2261.0,385.0,100.0
Pallada Athens Boutique Rooms & Suites,37.97836,23.725603,4.0,12.0,8.0,100.0
Ruby Rooms Athens,37.95703,23.73746,4.0,1.0,12.0,87.0
Divani Palace Acropolis,37.96755,23.725737,4.0,757.0,250.0,100.0
Be My Guest Athens,37.97498,23.71682,4.5,125.0,14.0,100.0
Hotel Eva,37.986385,23.72274,2.0,31.0,20.0,100.0
